"zscore" "zscore"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS" -0.141190650695448 -0.141190650695448
"KEGG_CITRATE_CYCLE_TCA_CYCLE" -0.0232775103401632 -0.0232775103401632
"KEGG_PENTOSE_PHOSPHATE_PATHWAY" -0.126583588401388 -0.126583588401388
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS" 0.0465192852897356 0.0465192852897356
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM" -0.0236818564554777 -0.0236818564554777
"KEGG_GALACTOSE_METABOLISM" -0.158851144909533 -0.158851144909533
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM" -0.102502405500708 -0.102502405500708
"KEGG_FATTY_ACID_METABOLISM" -0.0468162086691242 -0.0468162086691242
"KEGG_STEROID_BIOSYNTHESIS" -0.31392465859187 -0.31392465859187
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS" -0.0350016580342258 -0.0350016580342258
"KEGG_STEROID_HORMONE_BIOSYNTHESIS" 0.0106598076679169 0.0106598076679169
"KEGG_OXIDATIVE_PHOSPHORYLATION" 0.0801867115747256 0.0801867115747256
"KEGG_PURINE_METABOLISM" 0.0618420403145022 0.0618420403145022
"KEGG_PYRIMIDINE_METABOLISM" -1.58020025706655 -1.58020025706655
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM" -0.0323029950935434 -0.0323029950935434
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM" 0.0156549775182971 0.0156549775182971
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM" -0.0497578883559771 -0.0497578883559771
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION" -0.0112524494517444 -0.0112524494517444
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS" -0.0451087814808391 -0.0451087814808391
"KEGG_LYSINE_DEGRADATION" -0.0304707556132407 -0.0304707556132407
"KEGG_ARGININE_AND_PROLINE_METABOLISM" -0.0980732532169284 -0.0980732532169284
"KEGG_HISTIDINE_METABOLISM" -0.0359691250788868 -0.0359691250788868
"KEGG_TYROSINE_METABOLISM" -0.0727034790059649 -0.0727034790059649
"KEGG_PHENYLALANINE_METABOLISM" -0.0546034129474798 -0.0546034129474798
"KEGG_TRYPTOPHAN_METABOLISM" -0.0243773574650377 -0.0243773574650377
"KEGG_BETA_ALANINE_METABOLISM" -0.0223698013034273 -0.0223698013034273
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM" -0.0588227042137508 -0.0588227042137508
"KEGG_SELENOAMINO_ACID_METABOLISM" 0.0306909443473771 0.0306909443473771
"KEGG_GLUTATHIONE_METABOLISM" -0.0186245648614118 -0.0186245648614118
"KEGG_STARCH_AND_SUCROSE_METABOLISM" -0.0873519195336431 -0.0873519195336431
"KEGG_N_GLYCAN_BIOSYNTHESIS" -0.0351582449082646 -0.0351582449082646
"KEGG_OTHER_GLYCAN_DEGRADATION" -0.0138518642433994 -0.0138518642433994
"KEGG_O_GLYCAN_BIOSYNTHESIS" -0.0280144960438852 -0.0280144960438852
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM" -0.0291895080055908 -0.0291895080055908
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION" -0.200059727942583 -0.200059727942583
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE" -0.19315847377904 -0.19315847377904
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE" -0.0506218032453998 -0.0506218032453998
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE" -0.136744188587527 -0.136744188587527
"KEGG_GLYCEROLIPID_METABOLISM" -0.0601658055901694 -0.0601658055901694
"KEGG_INOSITOL_PHOSPHATE_METABOLISM" 0.0192428439365107 0.0192428439365107
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS" -0.0162252045065824 -0.0162252045065824
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM" -0.00634092377951051 -0.00634092377951051
