brn1a_adult_CDS	brn1b_adult_CDS	celrr_adult_CDS	celrr_embryo_CDS	crnde_adult_CDS	crnde_embryo_CDS	eldr_adult_CDS	eldr_embryo_CDS	haunt_adult_CDS	haunt_embryo_CDS	kantr_adult_CDS	kantr_embryo_CDS	lincbrn1b_embryo_CDS	lincCox2_adult_CDS	lincCox2_embryo_CDS	lincEnc1_adult_CDS	manr_adult_CDS	manr_embryo_CDS	peril_adult_CDS	peril_embryo_CDS	trp53cor1_adult_CDS	tug1_adult_CDS
Rec8	Gabra2	Chordc1	Phox2b	Fosb	Col6a1	Rec8	Cdh1	Ubb	Nkx2-1	Wnt9a	Tbx2	Nfix	Tubb6	Dynlt1c	Nes	Slc5a5	Cdh1	Wnt9a	Ccnd2	Gabra2	Gabra2
Arrdc2	Sox9	Rec8	Sulf1	Hif3a	Col1a1	Nes	Col1a1	Serpina3n	Rplp1	Bcl6b	Ngfr	Grik3	Rec8	Col1a1	Dnajb1	Col6a1	Gabra2	Gabra2	Itga5	Rec8	Rec8
Fosb	Rec8	Hif3a	Slc16a10	Mertk	Lamb1	Ubc	Lamb1	Fos	Tshz3	Sox9	Glra1	Rec8	Nes	Rec8	Pttg1	Rec8	Col1a1	Sox9	Gabra2	Arrdc2	Ppp1r17
Calr	Arrdc2	Nes	Fam49a	Fos	Nes	Hdac5	Utp20	Arc	Col2a1	Il12rb1	Hddc2	Sst	Epha2	Zfp40	Psmb5	Arrdc2	Nfix	Mmp14	Col18a1	Klf4	Cd36
Hif3a	Klf4	Prlr	Ntn1	Arc	Nid1	Tpgs1	Nid1	Nr4a1	Dlx2	Mmp14	Cdh1	Crabp2	Vtn	Fam131c	Arc	Nes	Phyhip	Chordc1	Col1a1	Nes	Klf4
Dio2	Calr	Dnajb1	Cxcl14	Nr4a1	Rplp1	Fos	Rplp1	Glo1	Clec3b	S100a5	Mcts1	Ndrg1	Fabp7	Vax1	Tfrc	Lpl	Ndrg1	Arrdc2	Grin2d	Prlr	Pde1c
Mertk	Hif3a	Cyp2a5	Sla	Cdkn1a	Cad	Adamts1	Ttc9b	Xdh	Cenpf	N4bp3	Itga5	Mef2c	Per1	Ttc9b	Mut	Pdk4	Fam131c	Klf4	Phyhip	Epha2	Nes
Hspa8	Nes	Dio2	Col2a1	Clic5	Lama5	Nr4a1	Cad	Hddc3	Hsd3b6	Meox1	Gabra2	Prox1	Serpina3n	Lama2	Glo1	Pomc	Ptgds	Calr	Aqp1	Khsrp	Odc1
Vip	Ndrg1	Slc38a3	Clic6	Fkbp5	Sulf1	Rps14	Ptgds	Cryab	Dlx5	Gramd3	C1d	Phox2b	Fos	Snrpf	Cyr61	Serpina3n	Hivep2	Hif3a	Nes	Odc1	Ubb
Fabp7	Epha2	Mertk	Rps14	Sgk3	Dync1h1	Rps24	Abca1	Klf10	Dera	Angptl4	Serpinf1	Ptgds	Emp2	Dlx2	Alad	Fos	Eef1a2	9330159F19Rik	Nid1	Tjap1	Pdk4
Cpm	Homer1	Btg2	Fn1	Slc2a1	Lama2	Nab2	Lama5	Txnip	Hddc3	Slc9a3r2	Col6a1	Hivep2	Arc	Hcfc1r1	Hddc3	Arc	Kitl	Nes	Hmox1	Etnppl	Osbp2
Tns3	Dio2	Ccdc117	Cenpf	Mfsd2a	Col6a2	Col5a1	C1qbp	Egr1	Mki67	Arrdc2	Snrnp27	Rxrg	Zbtb20	Glo1	Tmem260	Nr4a1	Ascl1	Ndrg1	Nphs1	Fabp7	Serpina3n
Btg2	Hnrnpa0	Xbp1	Col5a1	Tinagl1	Mrc2	Egr1	Dync1h1	Akap12	Chrna3	Fosb	Gabrg1	Celsr1	Sdf2l1	Atp6v0c	Hdhd3	Podxl	Adcy1	Prlr	Rplp1	Serpina3n	Adamts1
Xbp1	Ttc9b	Pdia6	Notch1	Fosl2	Ntn1	Pcsk1n	D10Bwg1379e	Atp5l	Cbl	Hif3a	Col18a1	Lhx1	Nr4a1	Hn1l	Car8	Col5a1	Doc2b	Cyp2a5	Wnt3a	Kcnv1	Glo1
Atp2a3	Carhsp1	Serpina3n	Lrp2	Hddc3	Iqgap2	Klhl42	Lama2	Eltd1	Arx	9330159F19Rik	Irx2	Kitl	Cdkn1a	Fbn2	Mup4	Fabp5	Gng4	Epha2	Odc1	Tfrc	Atp6v0c
Fos	Tppp3	Fos	Notch2	Mt2	Nid2	C1qtnf4	Snrpf	Mars	Pcsk1n	Sh2b2	Col1a1	Fam49a	Glo1	Rps14	Enc1	Anxa5	Clu	Lrrc8a	Aldh1a2	Cdkn1a	C3
Pcsk1	Etnppl	Fam107a	Dbx1	Sox10	Myh9	Fbxo48	Egfr	Sgsm1	Dnah7b	Prlr	Eef1e1	Foxg1	Atp6v0c	Lbx1	Tuba1c	Exosc9	Sla	Homer1	Cad	Hcfc1r1	Esco1
Rgcc	Pdk4	Arc	Lama1	Lpcat2	Col2a1	Junb	Pold2	Maff	Isl1	Cyp2a5	Use1	Fezf2	Eci1	Col3a1	5430402E10Rik	Tshb	Syngr1	Dio2	Dennd6b	Flywch2	Cyp2e1
Dnajc3	Sgk1	Sdf2l1	Kirrel2	Klf10	Igf2r	Fat2	Aebp1	Npas4	Tuba1c	Bcl2l1	Zfp40	Clu	Lars	Fn1	Zfp488	Tmem144	Lynx1	Mertk	Lama5	Mut	Myoc
Arc	Tmcc3	Nr4a1	Neurod6	Egr2	Lox	Capn11	Mrc2	Junb	Rpl29	Dio2	Shh	Mbnl2	Camk2a	Bok	BC048546	Rps3a1	Mal2	Camk1g	Celsr1	Enpp4	Car3
Zbtb20	Timp3	Creld2	Notch3	Egr1	Fbn2	Egr4	Prpf8	Kdm5d	Creg2	Id3	Lamb1	Sla	Serpinb8	Asb1	Myh7	Hddc3	Snca	Sdc4	Sulf1	Ppil1	Cyr61
Sdf2l1	Ddit4	Glo1	Spon1	Pcsk1n	Rps14	Apold1	Hoxb9	Ddx3y	Hbb-y	Mid1ip1	Dvl3	Sncg	Mcm6	Mcm6	Mup5	Tiparp	Cybrd1	Ada	Slc16a10	Glo1	Padi2
Nr4a1	Cpm	Dusp1	Chd7	Cdc42ep4	Pdgfrb		Pdhb	Egr4	Hbb-bh1	Cd163	Fcgrt	Dlx2	Dbi	Dbi	Cox5b	Plvap	Fabp5	Etnppl	Lrriq1	Atp6v0c	Herc6
Cdkn1a	Tns3	Fkbp5	Mpped1	Npas4	Rps26		Nid2		Rnf26	Derl3	Bicd1	Prph	Tnni1	Col5a1	Obp2a	Lars2	Slc7a11	Arid5b	Lama2	Adamts10	Hddc3
Sik1	Btg2	Pdia4	Tuba1c	Cdh19	Col5a2		Sla		Aldh1a1	Tbx1	Zfp81	Tiam2	Lamc2	Lrp2	Obp1a	Tmem59l	Hmgcs2	Sgk1	Ndufa12	Rps24	Dis3l
Xdh	Xbp1	Hspa5	Lgr4	Junb	Col3a1		Myh9		Vsnl1	Gm266	Ptrf	Lbx1	Rgs5	Fbn1	Bpifb9b	Egr1	Rps3a1	Ntn4	Pomc	Edn3	Ugt8a
Atp6v0c	Pdia6	Vcam1	Hbb-y	Kdm5d	Fn1		Dlx2		Hba-x	Med15	Pax2	Lancl1	Myoc	Syt13	Bpifb3	Tuba1c	Tal2	Fgd6	Mrc2	Gkn3	Ndn
Dusp1	Pxdn	Hddc3	Hba-x	Gm5506	Lamc1		Igf2r		Kcnh1	Tjap1	Hif3a	Ngef	Lypd6b	Rps3a1	Ppp1r3e	Snhg11	Hpca	Timp3	Galk1	A2m	Morc2a
Fkbp5	Per1	Mt2	Rpl32	Cox5b	Cenpf		Fbn2		Sox11	Mertk	Sst	Asb1	Hspa5	Svep1	Ccl28	Epcam	Ppp2r2c	Cpm	Nxn	Hddc3	Inpp5j
Il33	Nfkbia	Mt1	Rpl26	Ddx3y	Col5a1		Rps14		Ddx3y	Gata2	Aqp1	Lypd1	Olfml3	Ski	Gm14744	Junb	Fosl2	Pttg1	Ntn1	Trim59	Anln
Pdia4	Serpina3n	Pllp	Rps7	Ahnak	Lamc3		Plce1		Gpr98	Slc25a13	Tmem242	Plxna2	Rps3a1	Uncx	Obp2b	Trank1	Rph3a	Tns3	Amn	Rnps1	Rapgefl1
Paqr8	Fos	Cryab	Cyp26b1	Jund	Notch1		Fasn		Lhx8	Cnksr3	Wisp1	Lhx6	Arhgef19	Emp1	Hspa1b	Rps15	Eln	Btg2	Nid2	Lars2	Akap12
Mcm6	Gpr137b	Ptgs2	Ddx3y	Egr4	Lrp2		Lbx1			Notch4	Corin	Pax8	Padi2	Dera	Hspa1a	Bpifb3	Slc6a11	Gatsl3	Gdf10	3110052M02Rik	Tspyl5
Tfcp2l1	Thbs4	Lars2	Gpr98	Ccdc85b	Fbn1		Rps26			Camk1g	Nid1	Syt13	Hes3	Hddc3		Srp54a	Dbx1	Xbp1	Tnfrsf10b	Decr2	Pcsk1n
Nr4a2	Dnajc3	Egr1	Fat1		Lrp4		Pgm2			Sdc4	Tep1	Chst1	Fosl2	Dnah8			Hddc3	Pdia6	Psmb5	Cramp1l	C1qtnf4
Hspa5	Slc38a2	Gjb6	Rpl39		Rrbp1		Dst			Rhbdl3	Acot13	Ntsr1	Gkn3	Irf2bpl			Mfge8	Fam20a	Npr3	Ano2	Greb1l
Cyr61	Bcl6	Fmo2			Notch2		Fn1			Ada	Kif5b	Hsd3b6	Hddc3	Gbx2			Thy1	Camkk1	Col14a1	Akap12	Nhlrc1
Alad	Sdf2l1	Pcsk9			Svep1		Lamc1			Med13l	Gabrb2	Tal2	Col4a1	Rnps1			Clstn2	Per1	Myh9	Itpkb	Npas4
Slc2a1	Tfrc	Cirbp			Sorcs2		Ddr2			Erbb3	Dio2	Fosl2	Ptgs2	Fam171a2			Cspg5	Nfkbia	Zbtb20	Lyplal1	Fbll1
Mfsd2a	Cdkn1a	Npas4			Col1a2		Col5a1			Ksr1	0610009B22Rik	Nos1	Cd59a	Prr7			Ablim3	Serpina3n	Arhgap31	Bub1b	Utp18
Tinagl1	Creld2	Tmem252			Aldh1l1		Lamc3			Etnppl	Zmiz1	Rasal1	Ndn	Dpp4			Rims3	Zfp36l1	Adamts1	Fmo2	Tmem158
Ago3	Glo1	Opalin			Emp1		Notch1			Pdk4	Rplp1	Rph3a	Rnps1	Lars2			Camkv	Otub2	Clic6	Bcor	Fat2
Map3k6	Xdh	Pla2g4e			Dera		Lrp2			Sema6a	Snrpb2	Dlx5	Prr7	Arx			Gas7	Fos	Wnt1	Maff	Cfd
Adipor2	Atp6v0c	Cd14			Hddc3		Fbn1			Lama4	Bmp7	Dync1i1	Arl5a	3110052M02Rik			Fndc3c1	Pcsk1	Krt18	Hmga1	Ppp4r1
Abcc9	Dusp1	Zbtb40			Col4a1		Notch2			Arid5b	Sdhb	Slc13a4	Mgat5	Mgat5			Sncb	Fam107a	Dlx2	Tmem252	Cntn4
