Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0045597~positive regulation of cell differentiation	19	0.2990713048953251	1.977526246824027E-5	LPL, TNFRSF12A, KLF10, SOX2, EOMES, ITPKB, ADA, JUNB, CD74, BDNF, ADAMTS9, CD36, ETS1, HLX, ZFP488, NKX6-2, JUND, WNT9A, IGFBP3	450	175	13588	3.278374603174603	0.04319780120516914	0.04319780120516914	0.034431852063088186
GOTERM_BP_FAT	GO:0051094~positive regulation of developmental process	21	0.33055249488430666	2.8355000340901022E-5	LPL, TNFRSF12A, KLF10, SOX2, FST, EOMES, ITPKB, ADA, JUNB, CD74, GATA2, BDNF, ADAMTS9, CD36, ETS1, NKX6-2, HLX, ZFP488, JUND, WNT9A, IGFBP3	450	214	13588	2.963115264797508	0.061354700033352416	0.031162913608976495	0.04936705323335122
GOTERM_BP_FAT	GO:0045596~negative regulation of cell differentiation	19	0.2990713048953251	3.358352130164837E-5	CCDC85B, CREBBP, SOX2, FST, NFKBIA, ZBTB16, SOX9, CD24A, CD74, BDNF, HES5, NKX6-2, HLX, INSIG1, CLEC2D, BCL6, WNT9A, KLF4, TOB1	450	182	13588	3.1522832722832725	0.07225026283261782	0.024687897534523717	0.058467583359478326
GOTERM_BP_FAT	GO:0048008~platelet-derived growth factor receptor signaling pathway	7	0.11018416496143554	7.872982264322149E-5	PLAT, TXNIP, SCHIP1, ARID5B, TIPARP, GAB1, PDGFRB	450	23	13588	9.189951690821255	0.16122317980702483	0.0430007332305532	0.13701473894009997
GOTERM_MF_FAT	GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity	5	0.07870297497245396	4.6286662054864495E-4	DUSP5, DUSP4, DUSP1, DUSP16, DUSP6	438	12	13288	12.640791476407914	0.240784333939003	0.240784333939003	0.6806670418450733
GOTERM_MF_FAT	GO:0033549~MAP kinase phosphatase activity	5	0.07870297497245396	4.6286662054864495E-4	DUSP5, DUSP4, DUSP1, DUSP16, DUSP6	438	12	13288	12.640791476407914	0.240784333939003	0.240784333939003	0.6806670418450733
GOTERM_BP_FAT	GO:0002683~negative regulation of immune system process	10	0.15740594994490792	8.674950430456825E-4	LRRC32, H2-BL, HLX, CLEC2D, BCL6, FAS, CD24A, LAG3, CD74, ADA	450	76	13588	3.9730994152046786	0.8560021826499783	0.32131041938355787	1.4999830166123385
GOTERM_BP_FAT	GO:0009725~response to hormone stimulus	15	0.23610892491736185	0.0011558974752637003	IRS2, SGK1, EGR2, MAT2A, ADIPOR2, TSHB, MMP14, CD24A, TIMP3, SERPINA3N, ADH1, PCSK9, SH2B2, FAS, GH	450	165	13588	2.745050505050505	0.9244236569441284	0.34977402839473526	1.993943488991834
GOTERM_BP_FAT	GO:0006955~immune response	29	0.45647725484023294	0.001993240250858011	IL1R1, PGLYRP1, MLH1, VTN, CCL28, TLR7, ADA, CD74, KLHL6, BCL6, FAS, CFD, GBP5, TLR13, GBP9, EOMES, H2-AB1, RPS6, TINAGL1, POLR3E, ABCC9, TNFSF10, H2-BL, H2-T22, H2-T23, GBP4, GBP3, CD14, GBP2	450	471	13588	1.859174333569238	0.9883837145282103	0.47084727194996645	3.4149028517752367
GOTERM_BP_FAT	GO:0051789~response to protein stimulus	10	0.15740594994490792	0.0022712381852136995	EGR1, FOS, HERPUD1, ID1, KLF10, BCL2L1, ID3, FAS, DNAJC3, CYR61	450	87	13588	3.4707535121328226	0.993764166912242	0.46989511021260677	3.882351863608746
GOTERM_BP_FAT	GO:0048568~embryonic organ development	18	0.28333070990083425	0.002729410946016645	SOX2, EOMES, TBX1, NR4A3, ADA, JUNB, EPHA2, FZD6, VCAM1, HHEX, GATA2, CLIC5, HLX, FOXF2, GAB1, INSIG1, WNT9A, CYR61	450	241	13588	2.255269709543568	0.9977640909068505	0.49243121600324	4.648111546791367
GOTERM_BP_FAT	GO:0007422~peripheral nervous system development	6	0.09444356996694475	0.002772489761674937	SLC5A3, EDNRB, SOX10, EGR3, EGR2, ERBB3	450	30	13588	6.0391111111111115	0.9979696919193035	0.462032308369688	4.719814111991338
GOTERM_BP_FAT	GO:0001822~kidney development	11	0.1731465449393987	0.0028272073515159184	ODC1, SCHIP1, BDNF, ARID5B, SALL1, TIPARP, PDGFRB, PCSK9, ADAMTS1, ZBTB16, TENC1	450	107	13588	3.1042159916926275	0.9982038237334603	0.4371465150251631	4.8108155705051665
GOTERM_BP_FAT	GO:0009719~response to endogenous stimulus	15	0.23610892491736185	0.0032066495158571255	IRS2, SGK1, EGR2, MAT2A, ADIPOR2, TSHB, MMP14, CD24A, TIMP3, SERPINA3N, ADH1, PCSK9, SH2B2, FAS, GH	450	184	13588	2.4615942028985507	0.9992321786698465	0.44990417642140623	5.439620045365379
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	13	0.2046277349283803	0.004180977015293383	GM6472, RPL26, RPS2, RPS6, RPS7, RPL30, RPS19, RPL41, RPS14, RPL34, RPS4Y2, RPS15, UBC, UBB, RPS24	438	151	13288	2.611872146118721	0.9173298209835758	0.7124757766440815	5.993705995807074
GOTERM_MF_FAT	GO:0046983~protein dimerization activity	22	0.3462930898787974	0.004298672367212148	SCHIP1, FOSL2, OLFML2B, ADIPOR2, OLFML2A, NR4A1, CREB5, TBX1, MYH7, FOSB, BCL2L1, NPAS4, ZBTB16, MYH9, JUNB, FOS, ATF3, ADH1, XBP1, JUN, JUND, NFE2L3	438	340	13288	1.963040558689229	0.9229440303435136	0.5744648592860606	6.1574794470247385
GOTERM_MF_FAT	GO:0005516~calmodulin binding	11	0.1731465449393987	0.004317549552273311	CAMK1G, CAMK4, MARCKSL1, PDE1C, TRPV4, MYH7, MYH9, ITPKA, CAMK2A, CAMKK1, DAPK1	438	114	13288	2.927341184010254	0.923808377659896	0.4746160452679472	6.183722344575182
GOTERM_BP_FAT	GO:0010553~negative regulation of specific transcription from RNA polymerase II promoter	5	0.07870297497245396	0.004502678153125165	HHEX, HES5, HES3, PER2, PER1	450	21	13588	7.18941798941799	0.9999579724221297	0.5393736298404972	7.557977172556651
GOTERM_BP_FAT	GO:0048511~rhythmic process	10	0.15740594994490792	0.005074348914297882	EGR2, MAT2A, PER2, PER1, ADAMTS1, BCL2L1, ARNTL, MMP14, LFNG, KDR	450	98	13588	3.0811791383219957	0.9999883460750469	0.555772788221702	8.478084112148032
