Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	47	4.3357933579335795	1.0204651877181692E-21	GM2000, RPL14, RPS27L, RPL22L1, RPS2, RPS3, GM11808, GM5148, RPLP1, GM15501, FAU, RPL11, MRPL32, RPS27A, GM15500, MRPL52, GM6472, MRPS18C, RPL41, RPS16, RPS17, RPS4Y2, WDR89, RPS14, RPS15, RPS12, GM10709, GM10288, GM10073, RPL35, RPL36, RPL39, RPS26, RPL7, RPL32, RPL34, RPS20, RPS21, RPS24, RPSA, GM7536, RPL26, GM10260, MRPL30, RPS6, RPS5, RPS8, RPL29, RPS7, RPL23, RPL18A, RPL22, GM10020, GM9843, GM9846, GM10269	766	151	13288	5.399477806788512	7.286121440307728E-19	7.286121440307728E-19	1.5430034314395225E-18
GOTERM_MF_FAT	GO:0005198~structural molecule activity	81	7.472324723247232	3.4079474404371743E-20	LOR, PRPH, CLDN9, RPL14, GM2000, RPS27L, RPL22L1, RPS2, RPS3, GM11808, GM5148, RPLP1, GM15501, FAU, COL12A1, RPL11, MRPL32, COL11A1, TUBA1C, RPS27A, GM15500, MRPL52, GM6472, MRPS18C, KRT18, RPS16, RPL41, RPS17, KRT15, RPS4Y2, WDR89, RPS14, RPS15, RPS12, COL1A2, GM10709, LAMC1, COL1A1, GM10288, GM10073, MYL6, COL3A1, ELN, AKAP12, RPL35, RPL36, COL2A1, CLDN11, RPL39, RPS26, RPL7, RPL32, RPL34, FBN2, RPS20, RPS21, THBS1, THBS2, NEFM, RPS24, COL18A1, GM7536, RPSA, NES, COL4A2, COL4A1, FBN1, RPL26, GM10260, MRPL30, RPS6, COL5A2, RPS5, RPS8, COL4A6, COL5A1, COL4A5, RPS7, RPL29, EMILIN1, LAMA1, COL14A1, RPL23, RPL18A, RPL22, GM10020, TSGA10, GM9843, GM10269, GM9846	766	450	13288	3.122506527415144	2.4332744724721426E-17	1.2166372362360713E-17	5.153017131842009E-17
GOTERM_MF_FAT	GO:0005201~extracellular matrix structural constituent	18	1.6605166051660518	4.165393330145441E-14	COL18A1, COL4A2, COL4A1, FBN1, ELN, COL3A1, COL2A1, COL5A2, COL4A6, COL5A1, EMILIN1, COL4A5, LAMA1, COL1A2, COL1A1, LAMC1, FBN2, COL11A1	766	30	13288	10.408355091383811	2.9726221484338566E-11	9.908740494779522E-12	6.294964549624638E-11
GOTERM_BP_FAT	GO:0030182~neuron differentiation	66	6.088560885608856	8.343380521325146E-14	CORIN, EVX1, WNT3A, PAX3, GRIN3A, SHH, GATA2, WNT1, POU4F3, POU4F1, OLIG1, ROBO3, CHAT, RET, PRRXL1, LBX1, VAX1, SLIT1, TBR1, SLIT2, THY1, SLIT3, ASCL1, FOXG1, STMN1, TRP73, NGFR, DCC, IRX5, TUG1, CLU, OTP, ARX, ALDH1A2, HOXA2, LAMB2, LHX1, BCL11B, GBX2, LHX5, NKX2-1, LHX6, TLX3, LHX8, FOXD1, DBX1, TLX1, SCLT1, LMX1B, PTPRZ1, LMX1A, GAS7, NTN1, NKX6-1, NOTCH3, FEZF2, DLX2, DLX1, ISL2, NOTCH1, PPIA, DLX5, NEUROD2, BMP7, RBPJ, GFRA3	812	399	13588	2.7680284454979813	2.169873170032588E-10	2.169873170032588E-10	1.479372180313021E-10
GOTERM_BP_FAT	GO:0006412~translation	57	5.258302583025831	1.9984167579067E-13	RPL14, GM2000, RPS27L, RPL22L1, RPS2, RPS3, GM11808, GM5148, RPLP1, GM15501, FAU, RPL11, MRPL32, RPS27A, GM15500, MRPL52, GM6472, MRPS18C, RPS16, RPL41, RPS17, RPS4Y2, WDR89, EIF2S1, RPS14, RPS15, RPS12, KHSRP, GM10709, GM10288, GM10073, RPL35, RPL36, RPL39, RPS26, RPL7, RPL32, EIF3H, RPL34, EIF3E, EIF3F, RPS20, RPS21, EIF3M, RPS24, GM7536, RPSA, AIMP1, EEF1A2, RPL26, GM10260, LARS2, MRPL30, RPS6, RPS5, RPS8, RPS7, RPL29, RPL18A, RPL23, RPL22, EEF1E1, GM10020, GM9843, GM10269, GM9846	812	319	13588	2.9900860138672267	5.193845353801407E-10	2.5969226769007037E-10	3.5409453147394743E-10
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	150	13.837638376383765	6.115362495531775E-11	MEF2C, ZFP738, GM5611, ZFP788, HMGN5, SHH, GATA2, HOXC4, FOXF2, CREB3L2, CREB3L1, OLIG1, ZFP273, AA987161, PHOX2B, SATB2, LBX1, RXRG, VAX1, TBR1, PKIA, ASCL1, ZFP81, ZFP120, 0610009B22RIK, FOXG1, TRP73, ZFP820, UNCX, TSHZ3, HMGB2, ONECUT3, SOX7, ZFP85-RS1, ZFP763, ZFP458, ZFP758, ZFP759, MEIS1, OTP, ARX, HOXA2, 2610008E11RIK, HOXA3, NKX1-1, LHX1, JUND, NPM1, ZFP760, NKX2-1, LHX5, LHX6, LHX8, HBA-X, DBX1, EPAS1, RFX4, SUB1, MAFB, SMAD3, NR4A3, ZFP606, NKX6-1, 2410018L13RIK, HOXB4, ZFP808, DLX2, GM14326, DLX1, DLX6OS1, NOTCH1, ZFP442, GM14322, EBF3, DLX5, HOXB9, MAFA, BMP7, RBPJ, AEBP1, FOSL2, FOXK1, EVX1, ZFP40, GPBP1, TBX20, DMRTA2, PAX3, HDX, PAX2, ZKSCAN2, GM14391, PAX8, POU4F3, POU4F1, SOX18, FOXB2, YAP1, GM5595, ATF7IP, SOX10, PRRXL1, A530054K11RIK, FOXJ1, SOX11, DMRT3, HMGA2, HLTF, HMGA1, PURA, ZFP37, ZFP160, ZMIZ1, ZFP71-RS1, FOXC1, ZFP229, KCNH3, IRX4, IRX3, IRX5, ABLIM3, ZFP68, NFIX, GM14403, 3300002I08RIK, ZFP36L2, MSX3, BCL11B, GBX2, POU3F1, TLX3, FOXD1, TLX1, ZFP72, FOXD3, MAF, FOXL2, ZFP51, LMX1B, TBX2, ZFP386, 4930522L14RIK, ZFP708, LMX1A, CENPK, ZFP101, GM14418, ISL2, ZFP182, ZFP677, SCAND1	812	1488	13588	1.6868941681233116	1.5893829174995489E-7	5.297943339588329E-8	1.0835780051010602E-7
GOTERM_BP_FAT	GO:0007155~cell adhesion	75	6.918819188191883	7.064761899075115E-11	AEBP1, MPZL2, CLDN9, NPNT, VTN, DDR2, MEGF10, CNTNAP5B, WISP1, PCP4, TGFBI, COL12A1, ZYX, COL11A1, SPON1, RET, PCDH11X, CDHR1, MFGE8, MYH9, THY1, NCAM2, DDR1, LAMC3, GM10709, ROR2, LAMC1, ADAM12, UNCX, TNC, ITGA11, DSCAML1, CDH1, COL2A1, CLDN11, CDH3, OTOR, CDH5, SCARF2, VCAM1, LAMB2, FAT3, FAT4, ITGB8, FAT1, COL6A2, COL6A1, THBS1, COL8A1, THBS2, COL8A2, FN1, COL18A1, SVEP1, AIMP1, COL13A1, LGALS1, NID1, CELSR1, NID2, KITL, COL5A1, RPL29, EMILIN1, CDH12, LAMA2, LAMA1, LYVE1, LAMA4, WNT7B, COL14A1, ITGA5, FREM2, NPHS1, CFDP1, ANTXR1	812	561	13588	2.2371644582597927	1.8361309261916148E-7	4.5903276291170414E-8	1.2518009961937082E-7
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-dependent	148	13.653136531365314	7.43186857333301E-11	MEF2C, ZFP738, ZFP788, HMGN5, SHH, GATA2, HOXC4, FOXF2, CREB3L2, CREB3L1, OLIG1, ZFP273, AA987161, PHOX2B, SATB2, LBX1, RXRG, VAX1, TBR1, PKIA, ASCL1, ZFP81, ZFP120, 0610009B22RIK, FOXG1, TRP73, ZFP820, UNCX, TSHZ3, HMGB2, ONECUT3, SOX7, ZFP85-RS1, ZFP763, ZFP458, ZFP758, ZFP759, MEIS1, OTP, ARX, HOXA2, 2610008E11RIK, HOXA3, NKX1-1, LHX1, JUND, ZFP760, NKX2-1, LHX5, LHX6, LHX8, HBA-X, DBX1, EPAS1, RFX4, SUB1, MAFB, SMAD3, NR4A3, ZFP606, NKX6-1, 2410018L13RIK, HOXB4, ZFP808, DLX2, GM14326, DLX1, DLX6OS1, NOTCH1, ZFP442, GM14322, EBF3, DLX5, HOXB9, MAFA, BMP7, RBPJ, AEBP1, FOSL2, FOXK1, EVX1, ZFP40, GPBP1, TBX20, DMRTA2, PAX3, HDX, PAX2, ZKSCAN2, GM14391, PAX8, POU4F3, POU4F1, SOX18, FOXB2, YAP1, GM5595, ATF7IP, SOX10, PRRXL1, A530054K11RIK, FOXJ1, SOX11, DMRT3, HMGA2, HLTF, HMGA1, PURA, ZFP37, ZFP160, ZMIZ1, ZFP71-RS1, FOXC1, ZFP229, KCNH3, IRX4, IRX3, IRX5, ABLIM3, ZFP68, NFIX, GM14403, 3300002I08RIK, MSX3, BCL11B, GBX2, POU3F1, TLX3, FOXD1, TLX1, ZFP72, FOXD3, MAF, FOXL2, ZFP51, LMX1B, TBX2, ZFP386, 4930522L14RIK, ZFP708, LMX1A, CENPK, ZFP101, GM14418, ISL2, ZFP182, ZFP677, SCAND1	812	1465	13588	1.6905327930866356	1.9315418475773782E-7	3.863083997135419E-8	1.3168484080949838E-7
GOTERM_BP_FAT	GO:0022610~biological adhesion	75	6.918819188191883	7.693369079925127E-11	AEBP1, MPZL2, CLDN9, NPNT, VTN, DDR2, MEGF10, CNTNAP5B, WISP1, PCP4, TGFBI, COL12A1, ZYX, COL11A1, SPON1, RET, PCDH11X, CDHR1, MFGE8, MYH9, THY1, NCAM2, DDR1, LAMC3, GM10709, ROR2, LAMC1, ADAM12, UNCX, TNC, ITGA11, DSCAML1, CDH1, COL2A1, CLDN11, CDH3, OTOR, CDH5, SCARF2, VCAM1, LAMB2, FAT3, FAT4, ITGB8, FAT1, COL6A2, COL6A1, THBS1, COL8A1, THBS2, COL8A2, FN1, COL18A1, SVEP1, AIMP1, COL13A1, LGALS1, NID1, CELSR1, NID2, KITL, COL5A1, RPL29, EMILIN1, CDH12, LAMA2, LAMA1, LYVE1, LAMA4, WNT7B, COL14A1, ITGA5, FREM2, NPHS1, CFDP1, ANTXR1	812	562	13588	2.233183738583174	1.9995061861788344E-7	3.332510589704185E-8	1.3631837880723197E-7
GOTERM_MF_FAT	GO:0003700~transcription factor activity	90	8.302583025830259	1.9796792683720704E-10	MEF2C, FOSL2, FOXK1, EVX1, GPBP1, TBX20, DMRTA2, PAX3, HDX, PAX2, ZKSCAN2, GATA2, HOXC4, PAX8, FOXF2, POU4F3, CREB3L2, CREB3L1, POU4F1, OLIG1, SOX18, FOXB2, PHOX2B, SOX10, PRRXL1, SATB2, LBX1, FOXJ1, SOX11, DMRT3, RXRG, VAX1, TBR1, HMGA1, PROX1, PURA, ASCL1, FOXG1, FOXC1, TRP73, UNCX, IRX4, IRX3, TSHZ3, IRX5, ONECUT3, SOX7, NFIX, MEIS1, OTP, ARX, MSX3, HOXA2, HOXA3, NKX1-1, LHX1, JUND, GBX2, NKX2-1, LHX5, LHX6, POU3F1, LHX8, TLX3, FOXD1, DBX1, TLX1, FOXD3, MAF, FOXL2, EPAS1, LMX1B, MAFB, TBX2, SMAD3, NR4A3, LMX1A, DACH1, NKX6-1, HOXB4, DLX2, DLX1, NOTCH1, ISL2, DLX5, HIVEP2, HOXB9, MAFA, RBPJ, SCAND1	766	776	13288	2.01192430890151	1.4134912440511016E-7	3.533728298865668E-8	2.9933923118008465E-7
