brn1a_adult_DE	brn1b_adult_DE	celrr_embryo_DE	celrr_adult_DE	crnde_adult_DE	crnde_embryo_DE	eldr_adult_DE	eldr_embryo_DE	haunt_adult_DE	haunt_embryo_DE	kantr_adult_DE	kantr_embryo_DE	brn1a_embryo_DE	brn1b_embryo_DE	lincCox2_adult_DE	lincCox2_embryo_DE	lincEnc1_adult_DE	lincEnc1_embryo_DE	manr_adult_DE	manr_embryo_DE	peril_adult_DE	peril_embryo_DE	trp53cor1_adult_DE	tug1_adult_DE	tug1_embryo_DE
Rec8	Gabra2	Tbx2	Chordc1	Fosb	Col6a1	Nes	Cdh1	Hspa8	Nkx2-1	Wnt9a	H19	H19	Glra1	Tubb6	Col1a1	Nes	Rec8	Slc5a5	Gabra2	Wnt9a	Ccnd2	Gabra2	Gabra2	Rec8
Arrdc2	Sox9	Ngfr	Nes	Mertk	Col18a1	Ubc	Col1a1	Ubb	Rplp1	Sox9	Tbx2	Nalcn	Sez6	Folh1	Rec8	Dnajb1	Nnt	Col6a1	Col1a1	Gabra2	Itga5	Arrdc2	Pde1c	Rnf185
Fosb	Folh1	Axin2	Dnajb1	Adi1	Col1a1	Tpgs1	Cacna1e	Dusp6	Hspa8	Il12rb1	Ngfr	Lhx2	Nfix	Nes	Zfp40	Pttg1	Fn1	Arrdc2	Nfix	Sox9	Gabra2	Nes	Nes	Rps14
Dio2	Kmt2a	Sdhd	Dio2	Fos	Lamb1	Adi1	Utp20	Pttg1	Tshz3	Mmp14	Glra1	Cdh1	Grik3	Epha2	Fam131c	Adi1	Bspry	Nes	Phyhip	Mmp14	Col18a1	Epha2	Plxdc1	Morc2a
Mertk	Rec8	Hddc2	Slc38a3	Arc	Nes	Fos	Polr2a	Adi1	Dlx2	S100a5	Hddc2	Ckmt1	Dlgap1	Nav1	Vax1	Psmb5	Hddc3	Lpl	Cacna1e	Chordc1	Col1a1	Khsrp	Ubb	Inpp5j
Hspa8	Arrdc2	Cdh1	P4ha1	Nr4a1	Polr2a	Nr4a1	Nid1	Serpina3n	Clec3b	N4bp3	Cdh1	Sox9	Cacna1e	Vtn	Ttc9b	Arc	Foxj1	Pdk4	Mef2c	Plin4	Phyhip	Odc1	Pdk4	8430429K09Rik
Vip	Calr	Mcts1	Btg2	Cdkn1a	Nid1	Rps14	Vax1	Fos	Lhx6	Ramp2	Mcts1	Sema4f	Pax2	Fabp7	Lama2	Mut	Enc1	Pttg1	Fam131c	Arrdc2	Ddr1	Tjap1	Mybpc1	Fmod
Fabp7	Gpx6	Ndufa9	Ccdc117	Clic5	Rplp1	Rps24	Rplp1	Arc	Hsd3b6	Meox1	Itga5	Hk2	Sst	Adi1	Snrpf	Glo1	Gm9493	Adi1	Ptgds	Klf4	Aqp1	Etnppl	Rnf185	Map10
Sgk1	Pde1c	Zfp385a	Xbp1	Fkbp5	Hspa8	Nr4a3	Ttc9b	Nr4a1	Dlx5	Gramd3	Gabra2	Rpa1	Crabp2	Serpina3n	Skor1	Flnb	Fat4	Pomc	Hivep2	Calr	Pax3	Fabp7	Adi1	Hbb-bs
Mybpc1	Nes	Itga5	Pdia6	Tma16	Sulf1	Ndufs5	Ptgds	Glo1	Dera	Plin4	Col6a1	S100a6	Ndrg1	Fos	Dlx2	Nnt	Hbb-y	Serpina3n	Eef1a2	Hif3a	Nes	Sgk1	Serpina3n	Tug1
Btg2	Epha2	Atp5f1	Adi1	Unc5a	Dync1h1	Arhgap27	Abca1	Xdh	Hddc3	Arrdc2	Snrnp27	Col6a1	Mef2c	Emp2	Park2	Lcn2	Hbb-bh1	Fos	Ascl1	9330159F19Rik	Nid1	Adi1	Esco1	Kdm5d
Xbp1	Homer1	Sox9	Serpina3n	Sgk3	Lama2	Egr2	Dync1h1	Nr4a3	Mki67	Fosb	Gabrg1	Pcnt	Syngr3	Arc	Glo1	Cyr61	Hba-x	Arc	Adcy1	Nes	Hmox1	Serpina3n	Rps24	Cox5b
Fos	Dio2	Hk2	Fos	Nr4a3	Col6a2	Egr1	D10Bwg1379e	Hddc3	Chrna3	Hif3a	Col18a1	Uhrf1	Syn2	Sdf2l1	Prss41	Alad	Alox5ap	Nr4a1	Doc2b	Epha2	Osgep	Kcnv1	Myoc	Rps4y2
Rgcc	Hnrnpa0	Sez6	Arc	Slc2a1	Mrc2	Pcsk1n	Lama2	Cryab	Cbl	9330159F19Rik	Col1a1	Gabrg1	Prox1	Nr4a1	Atp6v0c	Ugt2a1	Gstm6	Podxl	Clu	Lrrc8a	Rplp1	Cdkn1a	Herc6	Eno1
Dnajc3	Ttc9b	Serpinf1	Sdf2l1	Mfsd2a	Prpf8	Klhl42	Snrpf	Arhgap27	Arx	Cd33	Eef1e1	Ckb	Ebf3	Cdkn1a	Hn1l	Hddc3	Fat1	Lcn2	Sla	Homer1	Wnt3a	Park2	Hddc3	Lyz2
Arc	Carhsp1	Col6a1	Nr4a1	Tinagl1	Ntn1	C1qtnf4	Egfr	Fam214a	Aox4	Sh2b2	Sept7	Sp1	Phox2b	Park2	Lox	Arhgap27	Gm2373	Fabp5	Shisa9	Bcl2l1	Odc1	Mpc1	Dis3l	Slfn9
Sdf2l1	Tppp3	Pcnt	Creld2	Fosl2	Iqgap2	Acp1	Pold2	Filip1	Pcsk1n	Osgep	Use1	Fndc5	Ptgds	Glo1	Fbn2	Tmem260		Anxa5	Lynx1	Dio2	Aldh1a2	Flywch2	Ndn	3222401L13Rik
Nr4a1	Etnppl	Snrnp27	Glo1	Hddc3	Nid2	Fbxo48	Aebp1	Klf10	Dnah7b	Bcl2l1	Hltf	Ube2c	Hivep2	Prss41	Rps14	Hdhd3		Tshb	Mal2	Mertk	Dennd6b	Mut	Arhgap27	Hbb-bt
Cdkn1a	Pdk4	Dpp9	Dusp1	Mt2	Myh9	Junb	Prpf8	Egr2	Tuba1c	Dio2	Zfp40	Nkx2-1	Rxrg	Atp6v0c	Lbx1	Car8		Tmem144	Gnal	Camk1g	Celsr1	Enpp4	Morc2a	Selm
Sik1	P4ha1	Gabrg1	Pdia4	Sox10	Igf2r	Fat2	Hoxb9	Txnip	Rpl29	Id3	Shh	Col1a1	Celsr1	Eci1	Col3a1	Mup4		Rps3a1	Snca	Sdc4	Sulf1	Ppil1	Inpp5j	Gm26809
Xdh	Arid5b	Zmat2	Lcn2	Lpcat2	Lox	Capn11	Pdhb	Egr1	Creg2	Fgfrl1	Lamb1	Foxm1	Lhx1	Lars	Fn1	Enc1		Nr4a3	Sphkap	Ada	Anxa6	Cpne5	8430429K09Rik	
Dusp1	Sgk1	Mef2d	Hspa5	Arhgap27	Fbn2	Tpt1	Nid2	Akap12	Hbb-y	Cd163	Fcgrt	Smo	Kitl	Camk2a	Bok	Tuba1c		Tinagl1	Cybrd1	Etnppl	Slc16a10	Pi16	Anln	
Fkbp5	Timp3	Col18a1	Vcam1	Klf10	Rps14	Egr4	Sla	Atp5l	Hbb-bh1	Derl3	Bicd1	Fbxo7	Gria1	Cnksr2	Mcm6	5430402E10Rik		Hddc3	Fabp5	P4ha1	Lrriq1	Glo1	Akap12	
