brn1a_adult_iso	brn1b_adult_iso	celrr_adult_iso	celrr_embryo_iso	crnde_embryo_iso	eldr_embryo_iso	kantr_adult_iso	kantr_embryo_iso	brn1a_embryo_iso	brn1b_embryo_iso	lincCox2_adult_iso	lincCox2_embryo_iso	manr_embryo_iso	peril_adult_iso	peril_embryo_iso	trp53cor1_adult_iso
Rec8	Gabra2	Chordc1	Ngfr	Col6a1	Cdh1	Sox9	H19	H19	Nfix	Tubb6	Dynlt1c	Gabra2	Gabra2	Ccnd2	Gabra2
Arrdc2	Sox9	Rec8	Axin2	Col1a1	Col1a1	Mmp14	Tbx2	Nalcn	Grik3	Rec8	Col1a1	Col1a1	Sox9	Gabra2	Rec8
Fosb	Rec8	Hif3a	Sdhd	Lamb1	Lamb1	N4bp3	Ngfr	Lhx2	Rec8	Nes	Rec8	Nfix	Mmp14	Col18a1	Klf4
Hif3a	Arrdc2	Nes	Mnt	Nid1	Nid1	Gramd3	Hddc2	Cdh1	Crabp2	Vtn	Zfp40	Cacna1e	Arrdc2	Col1a1	Nes
Dio2	Calr	Dnajb1	Mcts1	Rplp1	Ttc9b	Angptl4	Cdh1	Ckmt1	Ndrg1	Fabp7	Lama2	Ndrg1	Klf4	Aqp1	Prlr
Mertk	Hif3a	Cyp2a5	Ndufa9	Cad	Cad	Slc9a3r2	Mcts1	C1d	Mef2c	Serpina3n	Snrpf	Fam131c	Hif3a	Nes	Epha2
Hspa8	Nes	Dio2	Zfp385a	Dync1h1	Abca1	Golga2	Gabra2	Hk2	Phox2b	Fos	Prpf8	Ptgds	9330159F19Rik	Nid1	Khsrp
Vip	Ndrg1	Btg2	Sox9	Lama2	Lama5	Plin4	C1d	Rpa1	Hivep2	Emp2	Dlx2	Hivep2	Nes	Hmox1	Etnppl
Fabp7	Dio2	Pdia6	C1d	Mrc2	Dync1h1	Arrdc2	Serpinf1	Snrpn	Celsr1	Arc	Hcfc1r1	Eef1a2	Prlr	Rplp1	Fabp7
Cpm	Ttc9b	Serpina3n	Hk2	Myh9	Lama2	Fosb	Col6a1	S100a6	Lhx1	Sdf2l1	Glo1	Kitl	Epha2	Odc1	Serpina3n
