gene_name	Layer
6430573F11Rik	Vb
A930038C07Rik	I
9830123M21Rik	II/III
Bhlhe22	II/III
Bhlhe22	IV
Bhlhe22	Va
Bhlhe22	Vb
Pou3f3	II/III
Pou3f3	IV
Pou3f2	Vb
Pou3f2	II/III
Pou3f2	Vb
Cart	IV
Cntn6	Vb
Crim1	Vb
Crim1	SP
Ctgf	SP
Bcl11b	Vb
Bcl11b	VI
Crym	Vb
Crym	VI
Cyp39a1	IV
Cux1	II/III
Cux1	IV
Cux2	II/III
Cux2	IV
Ppp1r1b	VI
Dkk3	Vb
Dkk3	VI
Diap3	II/III
Diap3	Vb
Dtx4	II/III
Dtx4	IV
Opn3	Vb
Etv1	Va
Etv1	Vb
Foxo1	Vb
FoxP2	VI
Fezf2	Vb
Fezf2	VI
Fezf2	SP
Gpr6	II/III
Gpr6	IV
Id2	II/III
Id2	Vb
Id2	VI
Igfbp4	II/III
Igfbp4	Vb
Igfbp4	VI
Igh6	VI
Kcnip2	IV
Kitl	II/III
Kitl	IV
Lxn	VI
Ldb2	Vb
Lhx2	II/III
Lhx2	IV
Lhx5	I
Lix1	Vb
Lmo3	IV
Lmo3	VI
Lmo4	II/III
Lmo4	IV
Lmo4	Va
Lmo4	Vb
Lmo4	VI
Mdga1	II/III
Mef2c	II/III
Mef2c	IV
Mirn189	II/III
Marcksl1	II/III
Marcksl1	Vb
Nefh	Vb
Nr4a3	VI
Nr4a2	SP
Oma1	Vb
Otx1	Vb
Otx1	VI
Pcp4	Vb
Pcp4	SP
Plxnd1	II/III
Plxnd1	Va
Rac3	II/III
Rac3	Vb
Reln	I
Rgs8	II/III
Rgs8	VI
RorB	IV
S100a10	Vb
Sema3e	Vb
Sema3e	VI
Pou3f1	II/III
Pou3f1	Vb
Slitrk1	II/III
Slitrk1	VI
Sox5	Vb
Sox5	VI
Sox5	SP
Svet1	II/III
Svet1	IV
Syt9	Vb
Tbr1	II/III
Tbr1	Vb
Tbr1	VI
Tbr1	SP
TcrB	Vb
TcrB	VI
Tle1	II/III
Tle3	II/III
Tle4	Vb
Tle4	VI
Unc5d	II/III
Unc5d	IV
