gene_name	Cell_type
Dcx	Progenitor markers
Fzd4	Progenitor markers
Gap43	Progenitor markers
Jag1	Progenitor markers
Ascl1	Progenitor markers
Msi1	Progenitor markers
Nes	Progenitor markers
Neurod1	Progenitor markers
Notch1	Progenitor markers
Notch2	Progenitor markers
Notch3	Progenitor markers
Otx2	Progenitor markers
Pax3	Progenitor markers
Sox2	Progenitor markers
Tubb4	Progenitor markers
Pax6	Dorsal and ventral progenitor markers 
Ngn2	Dorsal and ventral progenitor markers 
Eomes	Dorsal and ventral progenitor markers 
Emx1	Dorsal and ventral progenitor markers 
Emx2	Dorsal and ventral progenitor markers 
Nr2f1	Dorsal and ventral progenitor markers 
Nr2f2	Dorsal and ventral progenitor markers 
Dlx5	Dorsal and ventral progenitor markers 
Dlx6	Dorsal and ventral progenitor markers 
Dlx1	Dorsal and ventral progenitor markers 
Dlx2	Dorsal and ventral progenitor markers 
Ascl1	Dorsal and ventral progenitor markers 
Nkx2-1	Dorsal and ventral progenitor markers 
Gsx2	Dorsal and ventral progenitor markers 
