sample_id	Strain	Genetic background	Genotype	Useable
JR730	linc-Brn1a	N3	KO	TRUE
JR837	linc-Brn1a	N3	KO	TRUE
JR731	linc-Brn1b	N3	KO	TRUE
JR835	linc-Brn1b	N3	KO	TRUE
JR836	linc-Brn1b	N3	KO	TRUE
JR732	linc-Cox2	N3	KO	TRUE
JR776	linc-Cox2	N3	KO	TRUE
JR798	linc-Cox2	N3	KO	TRUE
JR733	Eldr	N3	KO	FALSE
JR799	Eldr	N3	KO	TRUE
JR777	Eldr	N3	KO	TRUE
JR736	linc-Enc1	N3	KO	TRUE
JR779	linc-Enc1	N3	KO	TRUE
JR825	linc-Enc1	N3	KO	TRUE
JR780	Manr	N3	KO	TRUE
JR737	Manr	N3	KO	TRUE
JR801	Manr	N3	KO	TRUE
JR738	Haunt	N3	KO	TRUE
JR782	Haunt	N3	KO	TRUE
JR826	Haunt	N3	KO	TRUE
JR739	Celrr	N3	KO	TRUE
JR783	Celrr	N3	KO	TRUE
JR804	Celrr	N3	KO	TRUE
JR741	Crnde	N3	KO	TRUE
JR784	Crnde	N3	KO	TRUE
JR818	Crnde	N3	KO	FALSE
JR742	Kantr	N2.5	KO	TRUE
JR819	Kantr	N2.5	KO	TRUE
JR823	Kantr	N2.5	KO	TRUE
JR743	Trp53cor	N3	KO	TRUE
JR786	Trp53cor	N3	KO	TRUE
JR805	Trp53cor	N3	KO	TRUE
JR806	Peril	N3	KO	TRUE
JR744	Peril	N3	KO	TRUE
JR822	Peril	N3	KO	TRUE
JR828	Tug1	N3	KO	TRUE
JR745	Tug1	N3	KO	TRUE
JR807	Tug1	N3	KO	TRUE
JR729	linc-Brn1a	N3	WT	TRUE
JR728	linc-Brn1a	N3	WT	TRUE
JR796	linc-Brn1a	N3	WT	TRUE
JR797	linc-Brn1b	N3	WT	TRUE
JR740	Eldr	N3	WT	TRUE
JR800	linc-Enc1	N3	WT	TRUE
JR827	linc-Enc1	N3	WT	TRUE
JR778	linc-Enc1	N3	WT	TRUE
JR734	Manr	N3	WT	TRUE
JR802	Manr	N3	WT	TRUE
JR803	Haunt	N3	WT	TRUE
JR735	Haunt	N3	WT	TRUE
JR817	Crnde	N3	WT	FALSE
JR785	Crnde	N3	WT	TRUE
JR824	Kantr	N2.5	WT	TRUE
JR820	Kantr	N2.5	WT	TRUE
JR821	Kantr	N2.5	WT	TRUE
JR781	Trp53cor	N3	WT	TRUE
