sample_id	Strain	Useable	Meninges removed	Genetic background	Genotype
N/A	linc-Brn1a	TRUE	FALSE	N3	KO
JR758	linc-Brn1b	TRUE	FALSE	N3	KO
JR764	linc-Brn1b	TRUE	FALSE	N3	KO
JR808	linc-Brn1b	TRUE	FALSE	N3	KO
JR809	linc-Cox2	TRUE	FALSE	N3	KO
JR816	linc-Cox2	TRUE	FALSE	N3	KO
JR829	linc-Cox2	TRUE	FALSE	N3	KO
JR787	Eldr	TRUE	FALSE	N3	KO
JR810	Eldr	TRUE	FALSE	N3	KO
JR838	Eldr	TRUE	FALSE	N3	KO
JR752	linc-Enc1	TRUE	FALSE	N3	KO
JR770	linc-Enc1	TRUE	FALSE	N3	KO
JR766	linc-Enc1	FALSE	FALSE	N3	KO
JR839	linc-Enc1	TRUE	FALSE	N3	KO
JR751	Manr	TRUE	FALSE	N3	KO
JR772	Manr	TRUE	FALSE	N3	KO
JR788	Manr	TRUE	FALSE	N3	KO
JR754	Haunt	TRUE	FALSE	N3	KO
JR767	Haunt	TRUE	FALSE	N3	KO
JR759	Haunt	TRUE	FALSE	N3	KO
JR769	Celrr	FALSE	FALSE	N3	KO
JR773	Celrr	TRUE	FALSE	N3	KO
JR760	Celrr	TRUE	FALSE	N3	KO
JR793	Crnde	TRUE	FALSE	N3	KO
JR790	Crnde	TRUE	FALSE	N3	KO
JR830	Crnde	TRUE	FALSE	N3	KO
JR763	Kantr	FALSE	TRUE	N2.5	KO
JR775	Kantr	TRUE	TRUE	N2.5	KO
JR747	Kantr	TRUE	TRUE	N2.5	KO
JR812	Kantr	TRUE	TRUE	N2.5	KO
JR749	Trp53cor	TRUE	FALSE	N3	KO
JR813	Trp53cor	FALSE	FALSE	N3	KO
JR814	Trp53cor	TRUE	FALSE	N3	KO
JR721	Peril	TRUE	FALSE	N3	KO
JR718	Peril	TRUE	FALSE	N3	KO
JR720	Peril	TRUE	FALSE	N3	KO
JR792	Peril	TRUE	FALSE	N3	KO
JR757	Tug1	TRUE	FALSE	N3	KO
JR857	Tug1	TRUE	FALSE	N3	KO
JR753	linc-Enc1	TRUE	FALSE	N3	WT
JR765	linc-Enc1	FALSE	FALSE	N3	WT
JR750	Manr	TRUE	FALSE	N3	WT
JR771	Manr	TRUE	FALSE	N3	WT
JR755	Haunt	TRUE	FALSE	N3	WT
JR811	Haunt	TRUE	FALSE	N3	WT
JR768	Haunt	TRUE	FALSE	N3	WT
JR761	Celrr	TRUE	FALSE	N3	WT
JR815	Crnde	TRUE	FALSE	N3	WT
JR789	Crnde	TRUE	FALSE	N3	WT
JR762	Kantr	TRUE	TRUE	N2.5	WT
JR774	Kantr	TRUE	TRUE	N2.5	WT
JR746	Kantr	TRUE	TRUE	N2.5	WT
JR748	Trp53cor	TRUE	FALSE	N3	WT
JR716	Peril	TRUE	FALSE	N3	WT
JR717	Peril	TRUE	FALSE	N3	WT
JR719	Peril	TRUE	FALSE	N3	WT
JR791	Peril	FALSE	FALSE	N3	WT
JR756	Tug1	TRUE	FALSE	N3	WT
