sample_id	group_label
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR730/abundances.cxb	linc-Brn1a
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR837/abundances.cxb	linc-Brn1a
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR731/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR835/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR836/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR732/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR776/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR798/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR799/abundances.cxb	Eldr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR777/abundances.cxb	Eldr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR736/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR779/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR825/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR780/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR737/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR801/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR738/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR782/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR826/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR739/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR783/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR804/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR741/abundances.cxb	Crnde
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR784/abundances.cxb	Crnde
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR742/abundances.cxb	Kantr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR819/abundances.cxb	Kantr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR823/abundances.cxb	Kantr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR743/abundances.cxb	Trp53cor
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR786/abundances.cxb	Trp53cor
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR805/abundances.cxb	Trp53cor
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR806/abundances.cxb	Peril
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR744/abundances.cxb	Peril
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR822/abundances.cxb	Peril
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR745/abundances.cxb	Tug1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR807/abundances.cxb	Tug1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR729/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR728/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR796/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR797/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR740/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR800/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR827/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR778/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR734/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR802/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR803/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR735/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR785/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR824/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR820/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR821/abundances.cxb	WT
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR781/abundances.cxb	WT
