sample_id	group_label
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR858/abundances.cxb	linc-Brn1a
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR859/abundances.cxb	linc-Brn1a
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR860/abundances.cxb	linc-Brn1a
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR758/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR764/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR808/abundances.cxb	linc-Brn1b
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR809/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR816/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR829/abundances.cxb	linc-Cox2
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR787/abundances.cxb	Eldr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR810/abundances.cxb	Eldr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR838/abundances.cxb	Eldr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR752/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR770/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR839/abundances.cxb	linc-Enc1
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR751/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR772/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR788/abundances.cxb	Manr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR754/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR767/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR759/abundances.cxb	Haunt
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR773/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR760/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR763/abundances.cxb	Celrr
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR793/abundances.cxb	Crnde
