
gene_name	Genomic Coordinates (mm10)	Targeted Deletion Coordinates (mm10)
linc-Brn1a	chr1:42648200-42694825	chr1:42648176-42694815
linc-Brn1b	chr1:42707066-42713708	chr1:42707143-42713698
linc-Cox2	chr1:150159043-150164948	chr1:150159043-150164948
Eldr	chr11:16935155-16951118	chr11:16934419-16951083
linc-Enc1	chr13:97455803-97482628	chr13:97455710-97482249
Manr	chr3:29891017-29924191	chr3:29891188-29923147
Haunt	chr6:52102947-52115121	chr6:52106776-52115377
Celrr	chr1:121087405-121120956	chr1:121087772-121137464
Crnde	chr8:92326034-92356120	chr8:92325920-92350749
Kantr	chrX:152294699-152327452	chrX:152298544-152327475
Trp53cor1	chr17:29057439-29079119	chr17:29057474-29079078
Peril	chr3:34764169-34782346	chr3:34767849-34782292
Tug1	chr11:3639794-3648808	chr11:3639794-3648758
